route_id,trip_id,service_id,direction_id,shape_id
18321,2021265,1,0,189015
18321,2021266,1,1,187990
18321,2021267,1,0,189015
18321,2021268,1,1,187990
18321,2021269,1,0,189015
18321,2021270,1,1,187990
18321,2021271,1,0,189015
18321,2021272,1,1,187990
18321,2021273,1,0,189015
18321,2021274,1,1,187990
18321,2021277,1,0,189015
18321,2021278,1,1,187990
18321,2021279,1,0,189015
18321,2021283,1,1,187990
22529,2093242,9,0,188820
21563,2128002,2,1,103381
21563,2129017,1,1,103381
21563,2129019,1,1,103381
15172,2238078,8,1,186197
15172,2238079,8,0,74192
15172,2238080,8,1,189024
15172,2238081,8,1,186197
15172,2238084,8,0,74192
15172,2238085,8,1,189024
15172,2238086,8,0,74193
15172,2238087,8,0,74192
15172,2238088,8,1,189024
15172,2238089,8,0,74192
15172,2238090,8,1,189024
15172,2238091,8,0,74192
15172,2238092,8,1,189024
15172,2238093,8,0,74192
15172,2238094,8,1,189024
15172,2238095,8,0,74192
15172,2238096,8,1,189024
15172,2238097,8,0,74192
15172,2238098,8,1,189024
15172,2238099,8,0,74193
15172,2238100,8,1,186197
15172,2238101,8,0,74192
15172,2238102,8,1,189024
15172,2238103,8,0,74193
15172,2238104,8,1,186197
15172,2238105,8,0,74192
15172,2238106,8,1,189024
15172,2238107,8,0,74193
15172,2238108,8,1,186197
15172,2238109,8,0,74192
15172,2238110,8,1,189024
15172,2238111,8,0,74193
15172,2238113,8,0,74192
15172,2238114,8,1,189024
15172,2238116,8,0,74192
15172,2238117,8,1,189024
15172,2238118,8,0,74192
15172,2238119,8,1,189024
15172,2238120,8,0,74192
15172,2238121,8,1,189024
15172,2238122,8,0,74192
15172,2238123,8,1,189024
15172,2238124,8,0,74192
15172,2238125,8,1,189024
15172,2238126,8,0,74192
15172,2238127,8,1,189024
15172,2238128,8,0,74192
15172,2238129,8,1,189024
15172,2238130,8,0,74192
15172,2238131,8,1,189024
15172,2238132,8,0,74192
15172,2238133,8,1,189024
15172,2238135,8,1,186197
15172,2238195,11,1,186197
15172,2238196,11,0,74192
15172,2238197,11,1,189024
15172,2238198,11,1,186197
15172,2238201,11,0,74192
15172,2238202,11,1,189024
15172,2238203,11,0,74193
15172,2238204,11,0,74192
15172,2238205,11,1,189024
15172,2238206,11,0,74192
15172,2238207,11,1,189024
15172,2238208,11,0,74192
15172,2238209,11,1,189024
15172,2238210,11,0,74192
15172,2238211,11,1,189024
15172,2238212,11,0,74192
15172,2238213,11,1,189024
15172,2238214,11,0,74192
15172,2238215,11,1,189024
15172,2238216,11,0,74193
15172,2238217,11,1,186197
15172,2238218,11,0,74192
15172,2238219,11,1,189024
15172,2238220,11,0,74193
15172,2238221,11,1,186197
15172,2238222,11,0,74192
15172,2238223,11,1,189024
15172,2238224,11,0,74193
15172,2238225,11,1,186197
15172,2238226,11,0,74192
15172,2238227,11,1,189024
15172,2238228,11,0,74193
15172,2238230,11,0,74192
15172,2238231,11,1,189024
15172,2238233,11,0,74192
15172,2238234,11,1,189024
15172,2238235,11,0,74192
15172,2238236,11,1,189024
15172,2238237,11,0,74192
15172,2238238,11,1,189024
15172,2238239,11,0,74192
15172,2238240,11,1,189024
15172,2238241,11,0,74192
15172,2238242,11,1,189024
15172,2238243,11,0,74192
15172,2238244,11,1,189024
15172,2238245,11,0,74192
15172,2238246,11,1,189024
15172,2238247,11,0,74192
15172,2238248,11,1,189024
15172,2238249,11,0,74192
15172,2238250,11,1,189024
15172,2238252,11,1,186197
15188,2242381,1,0,74199
15188,2242382,1,1,74200
15188,2242383,1,0,74199
15188,2242384,1,1,74200
15188,2242385,1,0,74199
15188,2242386,1,1,74200
15188,2242387,1,0,74199
15188,2242388,1,1,74200
15188,2242389,1,0,74199
15188,2242390,1,1,74200
15188,2242391,1,0,74199
15188,2242392,1,1,74200
15188,2242394,1,0,74199
15188,2242395,1,1,74200
15188,2242396,1,0,74199
15188,2242397,1,1,74200
15188,2242399,1,0,74199
15188,2242400,1,1,74200
15188,2242402,1,0,74199
15188,2242403,1,1,74200
15188,2242405,1,0,74199
15188,2242406,1,1,74200
15188,2242408,1,0,74199
15188,2242409,1,1,74200
15188,2242410,1,0,74199
15188,2242411,1,1,74200
15188,2242415,1,0,74199
15188,2242416,1,1,74200
15188,2242417,1,0,74199
15188,2242418,1,1,74200
15188,2242421,1,0,74199
15188,2242422,1,1,74200
15188,2242424,1,0,74199
15188,2242425,1,1,74200
15188,2242427,1,0,74199
15188,2242428,1,1,74200
15188,2242430,1,0,74199
15188,2242431,1,1,74200
15188,2242433,1,0,74199
15188,2242434,1,1,74200
15188,2242436,1,0,74199
15188,2242437,1,1,74200
15188,2242439,1,0,74199
15188,2242440,1,1,74200
15188,2242441,1,0,74199
15188,2242442,1,1,74200
15188,2242443,1,0,74199
15188,2242444,1,1,74200
15188,2242445,1,0,74199
15188,2242446,1,1,74200
15188,2242447,1,0,74199
15188,2242448,1,1,74200
15188,2242449,1,0,74199
15188,2242450,1,1,74200
15188,2242452,1,0,74199
15188,2242453,1,1,74200
15188,2242454,1,0,74199
15188,2242455,1,1,74200
15188,2242456,1,0,74199
15188,2242457,1,1,74200
15188,2242458,1,0,74199
15188,2242459,1,1,74200
15188,2242460,1,0,74199
15188,2242461,1,1,74200
15188,2242462,1,0,74199
15188,2242463,1,1,74200
15188,2242464,1,0,74199
15188,2242465,1,1,74200
15188,2242466,1,0,74199
15188,2242467,1,1,74200
15188,2242468,1,0,74199
15188,2242469,1,1,74200
15188,2242471,1,0,74199
15188,2242472,1,1,74200
15188,2242474,1,0,74199
15188,2242475,1,1,74200
15234,2244455,2,0,74197
15234,2244456,2,1,74198
15234,2244458,2,0,74197
15234,2244459,2,1,74198
15234,2244460,2,0,74197
15234,2244461,2,1,74198
15234,2244463,2,0,74197
15234,2244464,2,1,74198
15234,2244465,2,0,74197
15234,2244466,2,1,74198
15234,2244467,2,0,74197
15234,2244468,2,1,74198
15234,2244469,2,0,74197
15234,2244470,2,1,74198
15234,2244471,2,0,74197
15234,2244472,2,1,74198
15234,2244473,2,0,74197
15234,2244474,2,1,74198
15234,2244476,2,0,74197
15234,2244477,2,1,74198
15234,2244478,2,0,74197
15234,2244479,2,1,74198
15234,2244480,2,0,74197
15234,2244481,2,1,74198
15234,2244482,2,0,74197
15234,2244483,2,1,74198
15234,2244484,2,0,74197
15234,2244485,2,1,74198
15234,2244486,2,0,74197
15234,2244487,2,1,74198
15234,2244488,2,0,74197
15234,2244489,2,1,74198
15234,2244490,2,0,74197
15234,2244491,2,1,74198
15234,2244492,2,0,74197
15234,2244493,2,1,74198
15234,2244494,2,0,74197
15234,2244495,2,1,74198
15200,2261537,2,0,154987
15200,2261539,2,0,186208
15200,2261540,2,0,186208
15200,2261541,2,0,186208
15200,2261542,2,0,186208
15200,2261543,2,0,186208
15200,2261544,2,0,186208
15200,2261546,2,0,186208
15200,2261547,2,0,186208
15200,2261548,2,0,186208
15200,2261549,2,0,186208
15200,2261550,2,0,186208
15200,2261551,2,0,186208
15200,2261552,2,0,186208
15200,2261553,2,0,154987
15200,2261555,2,0,154987
15200,2261557,2,0,154987
15200,2261559,2,0,154987
15200,2261561,2,0,154987
15200,2261563,2,0,154987
15200,2261565,2,0,186208
15801,2262775,5,1,84352
15801,2262776,5,0,186183
15801,2262777,5,1,84352
15801,2262778,5,1,84352
15801,2262779,5,0,186183
15178,2263442,2,0,186182
15178,2263443,2,1,186186
15178,2263444,2,0,186182
15178,2263445,2,1,186186
15178,2263446,2,0,186182
15178,2263447,2,1,186186
15178,2263449,2,0,186182
15178,2263450,2,1,186186
15178,2263452,2,0,186182
15178,2263453,2,1,186186
15178,2263454,2,0,186182
15178,2263455,2,1,186186
15178,2263456,2,0,186182
15178,2263457,2,1,186186
15178,2263458,2,0,186182
15178,2263459,2,1,186186
15178,2263461,2,0,186182
15178,2263462,2,1,186186
15145,2312853,5,0,186099
15145,2312854,5,1,74292
15145,2312855,5,0,186099
15145,2312856,5,1,74292
15145,2312857,5,0,186099
15145,2312858,5,1,74292
15145,2312859,5,0,186099
15145,2312860,5,1,74292
15145,2312861,5,0,186099
15145,2312862,5,1,74292
15142,2312878,5,1,81698
15142,2312879,5,0,81742
15142,2312880,5,1,81698
15142,2312881,5,0,81742
15142,2312882,5,1,81698
15142,2312883,5,0,81742
15142,2312884,5,1,81698
15142,2312885,5,0,81742
15142,2312886,5,1,81698
15142,2312887,5,0,81742
15142,2312888,5,1,81698
15142,2312889,5,0,81742
15142,2312891,5,1,81698
15142,2312892,5,0,81742
15142,2312893,5,1,81698
15142,2312894,5,0,81742
15142,2312895,5,1,81698
15142,2312896,5,0,81742
15142,2312897,5,1,81698
15142,2312898,5,0,81742
15142,2312899,5,1,81698
15142,2312900,5,0,81742
15170,2330114,1,0,186095
15170,2330115,1,1,74257
15170,2330116,1,0,186095
15170,2330117,1,1,74257
15170,2330119,1,0,186095
15170,2330120,1,1,74257
15170,2330121,1,0,186095
15170,2330122,1,1,74257
15170,2330123,1,0,186095
15170,2330124,1,1,74257
15170,2330126,1,0,186095
15170,2330127,1,1,74257
15170,2330129,1,0,186095
15170,2330130,1,1,74257
15170,2330131,1,0,186095
15170,2330132,1,1,74257
15170,2330134,1,0,186095
15170,2330135,1,1,74257
15170,2330137,1,0,186095
15170,2330138,1,1,74257
15170,2330139,1,0,186095
15170,2330140,1,1,74257
15170,2330142,1,0,186095
15170,2330143,1,1,74257
15170,2330145,1,0,186095
15170,2330146,1,1,74257
15170,2330149,1,0,186095
15170,2330150,1,1,74257
15170,2330151,1,0,186095
15170,2330152,1,1,74257
15170,2330154,1,0,186095
15170,2330155,1,1,74257
15170,2330156,1,0,186095
15170,2330157,1,1,74257
15170,2330158,1,0,186095
15170,2330159,1,1,74257
15170,2330161,1,0,186095
15170,2330162,1,1,74257
15170,2330164,1,0,186095
15170,2330165,1,1,74257
15170,2330167,1,0,186095
15170,2330168,1,1,74257
15170,2330170,1,0,186095
15170,2330171,1,1,74257
15170,2330173,1,0,186095
15170,2330174,1,1,74257
15170,2330176,1,0,186095
15170,2330177,1,1,74257
15170,2330179,1,0,186095
15170,2330180,1,1,74257
15170,2330182,1,0,186095
15170,2330183,1,1,74257
